Entry	Gene names	Organism	Gene ontology IDs
G0ECS5	fusA Pyrfu_1791	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0003746; GO:0003924; GO:0005525; GO:0005737
F4HN69	rpl39e PNA2_1157	Pyrococcus sp. (strain NA2)	GO:0003735; GO:0005840; GO:0006412
Q8U4C9	psmB1 PF0159	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	GO:0004298; GO:0005737; GO:0005839; GO:0051603
Q8TYH4	MK0325	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	
I6UPP3	PFC_04210	Pyrococcus furiosus COM1	GO:0016021
G0EG24	Pyrfu_0400	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0008168
A2BMQ5	Hbut_1442	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	
Q9YCY9	APE_1123.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0016021
A2BK27	nac Hbut_0475	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0003723; GO:0015031
Q9YG97	APE_0004	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0016021
G0EGJ7	cas1 Pyrfu_0500	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0003677; GO:0004519; GO:0043571; GO:0046872; GO:0051607
Q8TXN8	MK0623	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0008233
Q9V183	PAB0376	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0016874
A2BLD8	mptE Hbut_0951	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0000287; GO:0003848; GO:0004788; GO:0005524; GO:0009229; GO:0016301
I6U676	PFC_02210	Pyrococcus furiosus COM1	
A2BN32	rpoH Hbut_1572	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0003677; GO:0003899; GO:0006351
F8AFW3	rpl18 PYCH_01570	Pyrococcus yayanosii (strain CH1 / JCM 16557)	GO:0003735; GO:0005840; GO:0006412; GO:0008097
Q8U0M2	rpoH PF1565	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	GO:0003677; GO:0003899; GO:0006351
