Entry	Gene names	Organism	Gene ontology IDs
A0A031GKY8	BW35_01002	Micrococcus luteus (Micrococcus lysodeikticus)	
A0A031GK32	BW35_01003	Micrococcus luteus (Micrococcus lysodeikticus)	GO:0005840; GO:0008080
A0A031GMM5	BW35_01000	Micrococcus luteus (Micrococcus lysodeikticus)	
A0A031GCD7	BW36_02027	Micrococcus luteus (Micrococcus lysodeikticus)	
E7QYV2	SAMN05444342_0316 ZOD2009_19963	Haladaptatus paucihalophilus DX253	GO:0003824; GO:0050662
E7QYV3	SAMN05444342_0317 ZOD2009_19968	Haladaptatus paucihalophilus DX253	GO:0002128; GO:0005737; GO:0008175
E7QYU4	SAMN05444342_0308 ZOD2009_19923	Haladaptatus paucihalophilus DX253	GO:0003677; GO:0004386; GO:0005524
A0A1M6P2U9	SAMN05444342_0309	Haladaptatus paucihalophilus DX253	
A0A1M6P336	SAMN05444342_0310	Haladaptatus paucihalophilus DX253	
A0A1M6P308	SAMN05444342_0311	Haladaptatus paucihalophilus DX253	GO:0004252
A0A1M6P2Z6	SAMN05444342_0312	Haladaptatus paucihalophilus DX253	GO:0004252
E7QYU9	SAMN05444342_0313 ZOD2009_19948	Haladaptatus paucihalophilus DX253	GO:0004252
E7QYV0	SAMN05444342_0314 ZOD2009_19953	Haladaptatus paucihalophilus DX253	GO:0004252
E7QYV1	SAMN05444342_0315 ZOD2009_19958	Haladaptatus paucihalophilus DX253	
E7QT14	tfb SAMN05444342_4304 ZOD2009_09560	Haladaptatus paucihalophilus DX253	GO:0003700; GO:0003743; GO:0008270; GO:0017025; GO:0070897
A0A1D8MS59	AQV86_02665	Nanohaloarchaea archaeon SG9	GO:0005524; GO:0006457; GO:0051082
A0A1D8MS60	gatE AQV86_02660	Nanohaloarchaea archaeon SG9	GO:0004812; GO:0005524; GO:0005737; GO:0006412; GO:0050567
A0A1D8MS32	AQV86_02675	Nanohaloarchaea archaeon SG9	
A0A1D8MS42	AQV86_02670	Nanohaloarchaea archaeon SG9	
A0A1D8MS16	AQV86_02645	Nanohaloarchaea archaeon SG9	
A0A1D8MS22	AQV86_02640	Nanohaloarchaea archaeon SG9	GO:0004067; GO:0006412; GO:0006450; GO:0006520; GO:0016874
A0A1D8MS33	AQV86_02655	Nanohaloarchaea archaeon SG9	
A0A1D8MS30	AQV86_02650	Nanohaloarchaea archaeon SG9	
A0A1D8MS28	AQV86_02685	Nanohaloarchaea archaeon SG9	
A0A1D8MS24	AQV86_02680	Nanohaloarchaea archaeon SG9	
E7QUQ2	SAMN05444342_0093 ZOD2009_12682	Haladaptatus paucihalophilus DX253	GO:0016021
E7QUQ1	SAMN05444342_0094 ZOD2009_12677	Haladaptatus paucihalophilus DX253	GO:0016021
E7QUP4	SAMN05444342_0101 ZOD2009_12642	Haladaptatus paucihalophilus DX253	GO:0005829; GO:0016920
A0A1M6NLU7	SAMN05444342_0102	Haladaptatus paucihalophilus DX253	GO:0008488; GO:0016021; GO:0017187
E7QUP6	SAMN05444342_0099 ZOD2009_12652	Haladaptatus paucihalophilus DX253	GO:0003676; GO:0005524; GO:0008026
E7QUP5	ZOD2009_12647	Haladaptatus paucihalophilus DX253	GO:0015321; GO:0016021
E7QUP8	SAMN05444342_0097 ZOD2009_12662	Haladaptatus paucihalophilus DX253	GO:0006629; GO:0008889
E7QUP7	SAMN05444342_0098 ZOD2009_12657	Haladaptatus paucihalophilus DX253	GO:0016491
E7QUQ0	sucD SAMN05444342_0095 ZOD2009_12672	Haladaptatus paucihalophilus DX253	GO:0000166; GO:0004775; GO:0006099; GO:0048037
E7QUP9	sucC SAMN05444342_0096 ZOD2009_12667	Haladaptatus paucihalophilus DX253	GO:0000287; GO:0004775; GO:0005524; GO:0006099
Q12VM6	serA Mbur_1596	Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	GO:0004617; GO:0051287
A9A4H6	Nmar_1058	Nitrosopumilus maritimus (strain SCM1)	GO:0016021
A9A4H7	Nmar_1059	Nitrosopumilus maritimus (strain SCM1)	
A9A4H8	Nmar_1060	Nitrosopumilus maritimus (strain SCM1)	
A9A4H9	Nmar_1061	Nitrosopumilus maritimus (strain SCM1)	GO:0016021
A9A4H2	Nmar_1054	Nitrosopumilus maritimus (strain SCM1)	GO:0003723; GO:0005524; GO:0006810
A9A4H3	Nmar_1055	Nitrosopumilus maritimus (strain SCM1)	GO:0008237
A9A4H4	Nmar_1056	Nitrosopumilus maritimus (strain SCM1)	
A9A4H5	Nmar_1057	Nitrosopumilus maritimus (strain SCM1)	GO:0003677; GO:0003905; GO:0006284
A9A4I0	Nmar_1062	Nitrosopumilus maritimus (strain SCM1)	GO:0005622; GO:0009190; GO:0016849; GO:0035556
A9A4I1	Nmar_1063	Nitrosopumilus maritimus (strain SCM1)	GO:0016021
C5C787	Mlut_21070	Micrococcus luteus (strain ATCC 4698 / DSM 20030 / JCM 1464 / NBRC 3333 / NCIMB 9278 / NCTC 2665 / VKM Ac-2230) (Micrococcus lysodeikticus)	GO:0003677; GO:0003700; GO:0006351
A0A0X9LIJ2	ERS367886_02205	Streptococcus pneumoniae	GO:0016021
E7QMR4	SAMN05444342_3932 ZOD2009_01160	Haladaptatus paucihalophilus DX253	
A0A1D2QIM1	BG842_18810	Haladaptatus sp. W1	
E7QMR2	ZOD2009_01150	Haladaptatus paucihalophilus DX253	GO:0003676
E7QMR1	rpiA SAMN05444342_3930 ZOD2009_01145	Haladaptatus paucihalophilus DX253	GO:0004751; GO:0009052
E7QP51	SAMN05444342_3928 ZOD2009_01135	Haladaptatus paucihalophilus DX253	GO:0006189
E7QP50	SAMN05444342_3927 ZOD2009_01130	Haladaptatus paucihalophilus DX253	GO:0016021
E7QP49	SAMN05444342_3926 ZOD2009_01125	Haladaptatus paucihalophilus DX253	GO:0016021; GO:0051536
E7QP48	SAMN05444342_3925 ZOD2009_01120	Haladaptatus paucihalophilus DX253	GO:0016021
E7QP47	SAMN05444342_3924 ZOD2009_01115	Haladaptatus paucihalophilus DX253	GO:0005524; GO:0016887
A0RXN2	CENSYa_1477	Cenarchaeum symbiosum (strain A)	
A0RXN1	CENSYa_1476	Cenarchaeum symbiosum (strain A)	
A0RXN0	CENSYa_1475	Cenarchaeum symbiosum (strain A)	
A0RXM9	CENSYa_1474	Cenarchaeum symbiosum (strain A)	
A0RXM8	CENSYa_1473	Cenarchaeum symbiosum (strain A)	
A0RXM7	CENSYa_1472	Cenarchaeum symbiosum (strain A)	
A0RXM6	CENSYa_1471	Cenarchaeum symbiosum (strain A)	
A0RXM5	uppS CENSYa_1470	Cenarchaeum symbiosum (strain A)	GO:0000287; GO:0004659
A0RXM4	CENSYa_1469	Cenarchaeum symbiosum (strain A)	GO:0016787
A0RXM3	CENSYa_1468	Cenarchaeum symbiosum (strain A)	GO:0004590; GO:0006207; GO:0044205
A0A031FWZ2	BW35_02141	Micrococcus luteus (Micrococcus lysodeikticus)	GO:0008483; GO:0009058; GO:0030170
L9VJX9	C497_09383	Halalkalicoccus jeotgali (strain DSM 18796 / CECT 7217 / JCM 14584 / KCTC 4019 / B3)	
D8J8G9	HacjB3_14170 C497_09393	Halalkalicoccus jeotgali (strain DSM 18796 / CECT 7217 / JCM 14584 / KCTC 4019 / B3)	GO:0003824; GO:0051536
D8J8G8	HacjB3_14165 C497_09388	Halalkalicoccus jeotgali (strain DSM 18796 / CECT 7217 / JCM 14584 / KCTC 4019 / B3)	GO:0016491
A0A151D469	AUV08_02750	Micrococcus sp. CH7	GO:0008080
A0A031H576	BW35_00416	Micrococcus luteus (Micrococcus lysodeikticus)	GO:0016021
A0A151CZR7	AUV08_01300	Micrococcus sp. CH7	GO:0016021; GO:0055085
A0A0E3SSQ0	MCMEM_2188	Methanococcoides methylutens MM1	GO:0016021
A0A0E3X1H9	MCMEM_2187	Methanococcoides methylutens MM1	
A0A0E3STX2	MCMEM_2190	Methanococcoides methylutens MM1	GO:0016021
A0A0E3STX1	MCMEM_2189	Methanococcoides methylutens MM1	GO:0004866; GO:0005615
A0A0E3X2F4	MCMEM_2192	Methanococcoides methylutens MM1	GO:0006810; GO:0016021
A0A0E3X110	MCMEM_2191	Methanococcoides methylutens MM1	GO:0016491
A0A0E3STX4	MCMEM_2194	Methanococcoides methylutens MM1	GO:0008686; GO:0009231; GO:0046872
A0A0E3SSQ3	MCMEM_2193	Methanococcoides methylutens MM1	GO:0005215; GO:0005524; GO:0009877; GO:0016020; GO:0016887
A0A0E3X1C2	MCMEM_2196	Methanococcoides methylutens MM1	GO:0005249; GO:0008076
A0A0E3STX5	ribK MCMEM_2195	Methanococcoides methylutens MM1	GO:0000166; GO:0000287; GO:0003677; GO:0008531; GO:0009231; GO:0009398
E7QQ46	SAMN05444342_1300 ZOD2009_04582	Haladaptatus paucihalophilus DX253	
E7QQ47	SAMN05444342_1301 ZOD2009_04587	Haladaptatus paucihalophilus DX253	GO:0005198; GO:0016021; GO:0097589
A0RW05	CENSYa_0890	Cenarchaeum symbiosum (strain A)	
A0RW06	CENSYa_0891	Cenarchaeum symbiosum (strain A)	
A0RW03	CENSYa_0888	Cenarchaeum symbiosum (strain A)	GO:0003677; GO:0008170; GO:0009307; GO:0015667
A0RW04	CENSYa_0889	Cenarchaeum symbiosum (strain A)	GO:0003677; GO:0008170; GO:0009307; GO:0015667
A0RW09	CENSYa_0894	Cenarchaeum symbiosum (strain A)	GO:0016021
A0RW10	CENSYa_0895	Cenarchaeum symbiosum (strain A)	
A0RW07	CENSYa_0892	Cenarchaeum symbiosum (strain A)	
A0RW08	CENSYa_0893	Cenarchaeum symbiosum (strain A)	
A0RW11	CENSYa_0896	Cenarchaeum symbiosum (strain A)	
A0RW12	CENSYa_0897	Cenarchaeum symbiosum (strain A)	
A0RYN1	CENSYa_1838	Cenarchaeum symbiosum (strain A)	
A0A0E3WS25	MSLAZ_0454	Methanosarcina lacustris Z-7289	
A0A0E3S0P1	MSLAZ_0315	Methanosarcina lacustris Z-7289	GO:0019354; GO:0043115; GO:0051266
