Entry	Gene names	Organism	Gene ontology IDs
A0A075WEH7	AFULGI_00013490	Archaeoglobus fulgidus DSM 8774	
O29463	AF_0795	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	GO:0005524
W0DBP3	THERU_03765	Thermocrinis ruber	GO:0005328; GO:0016021
Q4JBI9	Saci_0427	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	
Q58151	MJ0741	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	GO:0005506; GO:0050605
M1J3F3	SacRon12I_08715	Sulfolobus acidocaldarius Ron12/I	GO:0016021; GO:0055085
M1ITU8	SacN8_10435	Sulfolobus acidocaldarius N8	GO:0004324; GO:0016021; GO:0050660; GO:0050661
O66630	dapL aq_273	Aquifex aeolicus (strain VF5)	GO:0009089; GO:0010285; GO:0030170
Q58729	MJ1333	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	
E3GXG3	Mfer_0192	Methanothermus fervidus (strain ATCC 43054 / DSM 2088 / JCM 10308 / V24 S)	
Q9X1L2	TM_1526	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	GO:0016491; GO:0046872
A0A1M6T0N1	SAMN05444391_1249	Thermocrinis minervae	GO:0016491; GO:0046872
E3GY16	Mfer_0396	Methanothermus fervidus (strain ATCC 43054 / DSM 2088 / JCM 10308 / V24 S)	
W0DFG9	THERU_02685	Thermocrinis ruber	
O28619	AF_1654	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	GO:0005886; GO:0016021
A0A1M6QX07	SAMN05444391_0431	Thermocrinis minervae	GO:0006950
E3GZ39	Mfer_0772	Methanothermus fervidus (strain ATCC 43054 / DSM 2088 / JCM 10308 / V24 S)	GO:0004076; GO:0009102; GO:0046872; GO:0051539
E3GW11	Mfer_0980	Methanothermus fervidus (strain ATCC 43054 / DSM 2088 / JCM 10308 / V24 S)	GO:0015948; GO:0018493; GO:0046914
O30034	AF_0205	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	
W0DI05	rpsG THERU_07315	Thermocrinis ruber	GO:0000049; GO:0003735; GO:0006412; GO:0015935; GO:0019843
O28797	tspO AF_1475	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	GO:0005886; GO:0006810; GO:0016021; GO:0033013; GO:0046906
E3GXR9	Mfer_0298	Methanothermus fervidus (strain ATCC 43054 / DSM 2088 / JCM 10308 / V24 S)	GO:0005388; GO:0005524; GO:0016021; GO:0046872
Q60374	relE1 MJ0071	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	
A0A101DY63	XD40_2229 XD48_2265	Archaeoglobus fulgidus	GO:0003677; GO:0006355
A0A101E2C1	XD40_1373 XD48_0689	Archaeoglobus fulgidus	GO:0005506; GO:0016226; GO:0051536
A0A075WE37	AFULGI_00011820	Archaeoglobus fulgidus DSM 8774	
Q60034	folA dyrA TM_1641	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	GO:0004146; GO:0006545; GO:0006730; GO:0009165; GO:0046654; GO:0050661
W0DH08	THERU_05190	Thermocrinis ruber	GO:0016787
W0DIL0	THERU_04910	Thermocrinis ruber	
Q9WYV0	uvrA TM_0480	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	GO:0003677; GO:0005524; GO:0005737; GO:0006289; GO:0009380; GO:0009381; GO:0009432; GO:0016887; GO:0046872
O28766	asd AF_1506	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	GO:0003942; GO:0004073; GO:0005737; GO:0006531; GO:0009086; GO:0009088; GO:0009089; GO:0009097; GO:0019877; GO:0046983; GO:0050661; GO:0051287
Q58229	MJ0819	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	
E3GXD1	Mfer_0160	Methanothermus fervidus (strain ATCC 43054 / DSM 2088 / JCM 10308 / V24 S)	
Q9X197	TM_1377	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	GO:0005886; GO:0006810; GO:0016021
O29353	dapB AF_0909	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	GO:0005737; GO:0008839; GO:0009089; GO:0019877
A0A1M6TEI7	SAMN05444391_1430	Thermocrinis minervae	
Q9X0I4	TM_1100	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	GO:0016021
Q58647	MJ1250	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	GO:0000107; GO:0000287; GO:0005737; GO:0006650; GO:0008654; GO:0047294
A0A1M6R184	SAMN05444391_0477	Thermocrinis minervae	GO:0005198; GO:0051536; GO:0097428
O28050	katG perA AF_2233	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	GO:0004096; GO:0006979; GO:0020037; GO:0042744; GO:0046872
M1J4T0	SacRon12I_10140	Sulfolobus acidocaldarius Ron12/I	GO:0016787
P36252	rpoC TM_0459	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	GO:0000428; GO:0003677; GO:0003899; GO:0006351
Q4JA57	eif2b Saci_0961	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	GO:0003743
A0A1M6SXL5	SAMN05444391_1204	Thermocrinis minervae	GO:0004222; GO:0005886; GO:0016021; GO:0046872
Q9X028	TM_0930	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	GO:0005524; GO:0016887
O67167	aq_1072	Aquifex aeolicus (strain VF5)	
A0A1M6S1R4	SAMN05444391_0844	Thermocrinis minervae	
O30137	AF_0099	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	
Q58038	MJ0621	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	GO:0006351; GO:0006355; GO:0043565
W0DC15	purF THERU_04755	Thermocrinis ruber	GO:0000287; GO:0004044; GO:0006189; GO:0006541; GO:0009113; GO:0009116; GO:0051539
E3GW68	Mfer_1038	Methanothermus fervidus (strain ATCC 43054 / DSM 2088 / JCM 10308 / V24 S)	GO:0008972; GO:0009228
A0A101E1Z4	XD40_0074 XD48_0554	Archaeoglobus fulgidus	GO:0003824; GO:0008152
O67032	prfA aq_876	Aquifex aeolicus (strain VF5)	GO:0005737; GO:0016149
M1JDE0	SacRon12I_07325	Sulfolobus acidocaldarius Ron12/I	
W0DEK0	gcvH THERU_00210	Thermocrinis ruber	GO:0005960; GO:0019464
A0A075WFM9	AFULGI_00024690	Archaeoglobus fulgidus DSM 8774	GO:0006813; GO:0008324
O29313	glnA AF_0949	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	GO:0004356; GO:0005524; GO:0005737; GO:0006542; GO:0009399; GO:0046872
W0DBL8	THERU_03545	Thermocrinis ruber	
W0DET5	THERU_05210	Thermocrinis ruber	
Q9WZ18	TM_0548	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	GO:0000287; GO:0003984; GO:0009097; GO:0009099; GO:0030976; GO:0050660
O28761	AF_1511	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	GO:0005524; GO:0008080; GO:0048037
M1J3T7	SacRon12I_09335	Sulfolobus acidocaldarius Ron12/I	GO:0008168
A0A1M6R527	SAMN05444391_0513	Thermocrinis minervae	GO:0004722
