Entry	Gene names	Organism	Gene ontology IDs
A0A0H3QUQ9	HMPREF1223_10122	Pseudomonas aeruginosa str. Stone 130	GO:0003677; GO:0003700; GO:0006351
S4IB03	A673_03460	Salmonella enterica subsp. enterica serovar Enteritidis str. 2009K0958	GO:0000155; GO:0005524; GO:0005622; GO:0016021
A0A0H3QYB2	xseB HMPREF1223_09291	Pseudomonas aeruginosa str. Stone 130	GO:0005737; GO:0006308; GO:0008855; GO:0009318
D6HX96	ECCG_00133	Escherichia coli B088	GO:0004476; GO:0005975; GO:0008270; GO:0009298
A0A0H3MKF3	fumA ECIAI39_1446	Escherichia coli O7:K1 (strain IAI39 / ExPEC)	GO:0004333; GO:0006091; GO:0046872; GO:0051539
E6BE48	fumC HMPREF9350_00870	Escherichia coli MS 85-1	GO:0004333; GO:0006099; GO:0006106; GO:0045239
A0A1J0ZF47			
A0A073GD00	rstB AC88_1835	Escherichia coli 3-267-03_S4_C1	GO:0000155; GO:0005524; GO:0005622; GO:0016021
V0Y9G1	HMPREF1611_05437	Escherichia coli 908573	GO:0000160; GO:0003677; GO:0005622; GO:0006351; GO:0006355
D6HX90	ECCG_00127	Escherichia coli B088	GO:0016021
W1EW20		Escherichia coli ISC7	GO:0016491
A0A1F0IYL7	HMPREF3014_02805	Pseudomonas sp. HMSC065H01	GO:0005975; GO:0016901; GO:0048038
A7ZM75	uidC EcE24377A_1823	Escherichia coli O139:H28 (strain E24377A / ETEC)	GO:0015288; GO:0016021
S1H8H7	A1WK_02471	Escherichia coli KTE100	
A0A0E1AQ66	U769_08435	Pseudomonas aeruginosa MTB-1	GO:0016021
A0A0F6UG13	frc_3 frc_1 AOY09_01694 PAERUG_E15_London_28_01_14_02443 PAERUG_P32_London_17_VIM_2_10_11_06116	Pseudomonas aeruginosa	GO:0033608
A0A1J7QRQ4			
T2QHK6	A680_04867	Salmonella enterica subsp. enterica serovar Enteritidis str. 2010K-0286	GO:0003700; GO:0006351; GO:0043565
A0A1S1BVV2	HMPREF2687_08960	Pseudomonas sp. HMSC059F05	
A0A1S1C6V5	HMPREF2687_21270	Pseudomonas sp. HMSC059F05	GO:0016740
A4VG10	PST_0204	Pseudomonas stutzeri (strain A1501)	GO:0016021
A0A1D5BKQ8	HMPREF1224_09963	Pseudomonas sp. P179	
A0A0H3BUK7	sapC SNSL254_A1818	Salmonella newport (strain SL254)	GO:0005886; GO:0006810; GO:0016021
A0A1R2A564	Y079_10875	Salmonella enterica subsp. enterica serovar Infantis str. CVM N31594	
A0A1J0ZDD0			
B7L9X1	yegV EC55989_2355	Escherichia coli (strain 55989 / EAEC)	GO:0004747; GO:0006014
A0A1J0ZDC8			
A0A0E0U0B0	UMNK88_2641	Escherichia coli UMNK88	GO:0005337; GO:0016021
A0A1J0ZDD3			
B7L9W7	gatY EC55989_2351	Escherichia coli (strain 55989 / EAEC)	GO:0008270; GO:0009025; GO:0019404; GO:2001059
B7L9W4	gatA EC55989_2348	Escherichia coli (strain 55989 / EAEC)	GO:0008982; GO:0103111
C0ST85	gatZ	Escherichia coli O55:H7	GO:0003824; GO:0019404; GO:2001059
M9H1C5	gatC ECMP0215612_2797	Escherichia coli MP021561.2	GO:0009401; GO:0015577; GO:0016021
W1EWB2		Escherichia coli ISC7	GO:0008982; GO:0009401; GO:0103111
S4KT34	rpsO A680_02298	Salmonella enterica subsp. enterica serovar Enteritidis str. 2010K-0286	GO:0003735; GO:0005840; GO:0006412; GO:0019843
B5REN1	nlpI SG3172	Salmonella gallinarum (strain 287/91 / NCTC 13346)	GO:0005886
S4KY15	rbfA A680_02300	Salmonella enterica subsp. enterica serovar Enteritidis str. 2010K-0286	GO:0005737; GO:0030490
S5HZV1	truB CFSAN002050_23385	Salmonella enterica subsp. enterica serovar Cubana str. CFSAN002050	GO:0003723; GO:0009982; GO:0031119
M7RG65	A670_04238	Salmonella enterica subsp. enterica serovar Dublin str. UC16	
T2Q749	A677_03346	Salmonella enterica subsp. enterica serovar Enteritidis str. 2010K-0267	GO:0016021
A0A0L2R155	deaD AEV26_11325	Salmonella enterica subsp. enterica serovar Heidelberg	GO:0000027; GO:0003723; GO:0004004; GO:0005524; GO:0005737; GO:0006401; GO:0070417
S4KPW9	A680_02293	Salmonella enterica subsp. enterica serovar Enteritidis str. 2010K-0286	GO:0005887; GO:0015173
B3G1B2	PACL_0545 PACL_0610	Pseudomonas aeruginosa	
A0A1D5BTI1	HMPREF1224_09082	Pseudomonas sp. P179	GO:0005215; GO:0005886; GO:0016021
S4KA63	A679_01680	Salmonella enterica subsp. enterica serovar Enteritidis str. 2010K-0284	GO:0016705
S4IPU1	A673_01514	Salmonella enterica subsp. enterica serovar Enteritidis str. 2009K0958	GO:0008233
A0A1D5C0F0	HMPREF1224_06070	Pseudomonas sp. P179	
A0A1D5C0C3	HMPREF1224_06069	Pseudomonas sp. P179	
B3G1F0	PACL_0604	Pseudomonas aeruginosa	GO:0016021
A0A1R2J2T4	BCA44_17560 BCA45_17600 BCA46_17600 BCA47_16840 BCA48_17600 BCA49_17585 BCA50_17300 BCA51_17595 BCA52_17565 BCA53_16790 BCA54_15725 BCA55_16885 BCA56_17610 BCA57_16895 BCA58_16480 BCA59_16415 BCA60_16775 BCA61_16805 BCA62_17610 BCA63_16785 BCA64_17595 BCA65_15015 BCA66_14915 BCA67_17575 BCA68_15960 BCA69_17565 BCA70_17570 BCA72_19850 BCA73_09890 BCA74_16380 BCA75_13885 BCA76_13685 BCA77_16480 BCA78_17220 BCA79_07470 BCA80_22075 BCA81_15705 BCA82_17415 BCA84_17565 BCA85_15730 BCA86_16150 BCA87_16370 BCA88_17605 BCA89_17600 BCA90_16785 BCA91_22350 BCA92_17615 BCA93_15730 BCA94_17605 BCA95_17600 BCA96_17565 BCA97_17590 BCA99_17065 BCB00_17480 BCB01_17580 BCB02_17590 BCB03_15680 BCB04_20695 BCB05_15670 BCB06_17270 BCB07_12665 BCB08_15710 BCB09_19890 BCB10_17605	Salmonella enteritidis	
